Enterprise_ID,Farmer_ID,Enterprise_Type,Primary_Crop,Secondary_Crop,Farm_Size,Farm_Size_Category,Farming_Experience,Farming_Equipment_type,Uses_Irrigation,Depends_on_Rain,Uses_Fertilizer,Uses_Improved_Seeds,Yield_per_Hectare,Profit,Monthly_Income,Monthly_Expense,Value_of_Farm_Assets,Total_Operating_Expenditure,Farm_Income
ENT_000013,FARMER_00007,Livestock,Goats,N/A,231.0,Large,5,Integrated,N/A,N/A,N/A,N/A,0.0,1572000,220000,89000,16989000,1065000,2637000
ENT_000014,FARMER_00008,Livestock,Sheep,N/A,161.0,Medium,53,Traditional,N/A,N/A,N/A,N/A,0.0,451000,112000,74000,17673000,892000,1343000
ENT_000015,FARMER_00009,Crop,Plantain,Vegetables,13.9,Large,2,Modern,No,Yes,No,No,3.84,4789000,1722000,1323000,2991000,15879000,20668000
ENT_000016,FARMER_00009,Fish Farming,Various Fish,N/A,534.0,Medium,2,Integrated,N/A,N/A,N/A,N/A,0.0,282000,60000,36000,92878000,433000,715000
ENT_000017,FARMER_00010,Fish Farming,Various Fish,N/A,525.0,Medium,4,Integrated,N/A,N/A,N/A,N/A,0.0,273000,87000,65000,74636000,775000,1048000
ENT_000018,FARMER_00010,Fish Farming,Various Fish,N/A,546.0,Medium,41,Traditional,N/A,N/A,N/A,N/A,0.0,652000,96000,41000,50701000,494000,1146000
ENT_000019,FARMER_00010,Livestock,Cattle,N/A,36.0,Small,14,Modern,N/A,N/A,N/A,N/A,0.0,114000,32000,23000,10363000,276000,390000
ENT_000020,FARMER_00011,Crop,Groundnut,None,6.65,Medium,11,Modern,No,Yes,Yes,No,4.2,4264000,920000,564000,1856000,6773000,11037000
ENT_000021,FARMER_00011,Crop,Sesame,None,2.46,Small,45,Modern,No,Yes,Yes,No,3.47,585000,137000,88000,598000,1054000,1639000
ENT_000022,FARMER_00011,Crop,Cowpea,None,0.58,Subsistence,46,Traditional,Yes,No,Yes,No,5.67,564000,84000,37000,96000,445000,1009000
ENT_000023,FARMER_00012,Livestock,Goats,N/A,186.0,Medium,9,Modern,N/A,N/A,N/A,N/A,0.0,618000,142000,91000,50782000,1092000,1710000
ENT_000024,FARMER_00013,Fish Farming,Various Fish,N/A,653.0,Medium,19,Traditional,N/A,N/A,N/A,N/A,0.0,1362000,236000,122000,67998000,1466000,2828000
ENT_000025,FARMER_00013,Livestock,Cattle,N/A,179.0,Medium,12,Traditional,N/A,N/A,N/A,N/A,0.0,402000,131000,98000,12013000,1171000,1573000
ENT_000026,FARMER_00014,Fish Farming,Various Fish,N/A,660.0,Medium,26,Integrated,N/A,N/A,N/A,N/A,0.0,491000,105000,64000,93121000,765000,1256000
ENT_000027,FARMER_00014,Crop,Yam,None,1.31,Small,8,Modern,No,Yes,Yes,No,3.67,655000,130000,76000,301000,911000,1566000
ENT_000028,FARMER_00015,Livestock,Sheep,N/A,133.0,Medium,2,Traditional,N/A,N/A,N/A,N/A,0.0,371000,94000,63000,23817000,751000,1122000
ENT_000029,FARMER_00016,Fish Farming,Various Fish,N/A,420.0,Small,20,Modern,N/A,N/A,N/A,N/A,0.0,435000,123000,86000,50736000,1036000,1471000
ENT_000030,FARMER_00017,Fish Farming,Various Fish,N/A,323.0,Small,27,Traditional,N/A,N/A,N/A,N/A,0.0,331000,57000,30000,44587000,357000,688000
ENT_000031,FARMER_00017,Livestock,Poultry,N/A,230.0,Large,4,Integrated,N/A,N/A,N/A,N/A,0.0,2548000,358000,145000,19768000,1743000,4291000
ENT_000032,FARMER_00018,Fish Farming,Various Fish,N/A,861.0,Medium,6,Traditional,N/A,N/A,N/A,N/A,0.0,521000,122000,79000,92456000,943000,1464000
ENT_000033,FARMER_00018,Crop,Millet,Cocoa,4.58,Small,1,Integrated,No,Yes,No,Yes,5.16,1715000,679000,536000,1026000,6428000,8143000
ENT_000034,FARMER_00018,Livestock,Cattle,N/A,94.0,Medium,7,Traditional,N/A,N/A,N/A,N/A,0.0,394000,132000,99000,9859000,1185000,1579000
ENT_000035,FARMER_00019,Crop,Cocoa,None,10.58,Large,32,Traditional,Yes,Partially,No,Yes,0.78,635000,126000,74000,1593000,883000,1518000
ENT_000036,FARMER_00019,Livestock,Poultry,N/A,113.0,Medium,42,Integrated,N/A,N/A,N/A,N/A,0.0,933000,131000,54000,22783000,644000,1577000
ENT_000037,FARMER_00019,Crop,Soybean,Cassava,12.48,Large,15,Modern,No,Yes,No,No,4.16,6517000,1502000,959000,1715000,11506000,18023000
ENT_000038,FARMER_00020,Fish Farming,Various Fish,N/A,481.0,Small,9,Traditional,N/A,N/A,N/A,N/A,0.0,785000,160000,94000,80184000,1131000,1916000
ENT_000039,FARMER_00021,Livestock,Cattle,N/A,209.0,Large,7,Integrated,N/A,N/A,N/A,N/A,0.0,577000,112000,64000,37561000,766000,1343000
ENT_000040,FARMER_00021,Fish Farming,Various Fish,N/A,625.0,Medium,6,Integrated,N/A,N/A,N/A,N/A,0.0,427000,78000,42000,112351000,504000,931000
ENT_000041,FARMER_00022,Fish Farming,Various Fish,N/A,708.0,Medium,18,Traditional,N/A,N/A,N/A,N/A,0.0,820000,203000,134000,109047000,1613000,2433000
ENT_000042,FARMER_00022,Crop,Cowpea,Rice,13.84,Large,24,Integrated,No,Yes,Yes,Yes,1.58,1467000,315000,193000,1768000,2315000,3782000
ENT_000043,FARMER_00022,Livestock,Cattle,N/A,231.0,Large,14,Modern,N/A,N/A,N/A,N/A,0.0,751000,158000,96000,35265000,1151000,1902000
ENT_000044,FARMER_00023,Livestock,Sheep,N/A,172.0,Medium,4,Traditional,N/A,N/A,N/A,N/A,0.0,917000,179000,102000,11933000,1226000,2143000
ENT_000045,FARMER_00024,Fish Farming,Various Fish,N/A,888.0,Medium,42,Traditional,N/A,N/A,N/A,N/A,0.0,935000,144000,66000,70677000,792000,1727000
ENT_000046,FARMER_00024,Livestock,Cattle,N/A,236.0,Large,3,Traditional,N/A,N/A,N/A,N/A,0.0,1206000,207000,107000,34621000,1279000,2485000
ENT_000047,FARMER_00025,Livestock,Poultry,N/A,180.0,Medium,6,Integrated,N/A,N/A,N/A,N/A,0.0,1546000,220000,92000,33727000,1099000,2645000
ENT_000048,FARMER_00026,Livestock,Sheep,N/A,205.0,Large,5,Integrated,N/A,N/A,N/A,N/A,0.0,1814000,267000,116000,32924000,1391000,3205000
ENT_000049,FARMER_00027,Crop,Groundnut,Sesame,11.28,Large,31,Traditional,No,Yes,No,No,1.89,1701000,687000,545000,1345000,6545000,8246000
ENT_000050,FARMER_00027,Livestock,Poultry,N/A,87.0,Medium,18,Modern,N/A,N/A,N/A,N/A,0.0,874000,135000,62000,15089000,742000,1616000
ENT_000051,FARMER_00027,Livestock,Sheep,N/A,18.0,Small,27,Traditional,N/A,N/A,N/A,N/A,0.0,89000,16000,9000,1943000,108000,197000
ENT_000052,FARMER_00028,Crop,Soybean,Groundnut,9.31,Medium,24,Integrated,No,Yes,No,Yes,1.68,1348000,232000,119000,1063000,1433000,2781000
ENT_000053,FARMER_00028,Crop,Millet,Cocoa,6.97,Medium,17,Integrated,No,Yes,Yes,No,3.51,1948000,379000,217000,1190000,2600000,4548000
ENT_000054,FARMER_00028,Fish Farming,Various Fish,N/A,476.0,Small,6,Integrated,N/A,N/A,N/A,N/A,0.0,683000,146000,89000,59457000,1065000,1748000
ENT_000055,FARMER_00029,Fish Farming,Various Fish,N/A,534.0,Medium,17,Traditional,N/A,N/A,N/A,N/A,0.0,1122000,179000,85000,55294000,1021000,2143000
ENT_000056,FARMER_00029,Fish Farming,Various Fish,N/A,389.0,Small,18,Traditional,N/A,N/A,N/A,N/A,0.0,694000,136000,78000,42791000,939000,1633000
ENT_000057,FARMER_00030,Livestock,Poultry,N/A,185.0,Medium,20,Modern,N/A,N/A,N/A,N/A,0.0,351000,141000,111000,53332000,1336000,1687000
ENT_000058,FARMER_00030,Fish Farming,Various Fish,N/A,702.0,Medium,13,Modern,N/A,N/A,N/A,N/A,0.0,643000,179000,125000,77920000,1500000,2143000
ENT_000059,FARMER_00031,Livestock,Cattle,N/A,44.0,Small,10,Traditional,N/A,N/A,N/A,N/A,0.0,251000,47000,26000,6487000,318000,569000
ENT_000060,FARMER_00031,Crop,Maize,Vegetables,7.86,Medium,4,Integrated,No,Yes,No,Yes,5.23,6289000,1299000,775000,645000,9296000,15585000
ENT_000061,FARMER_00032,Fish Farming,Various Fish,N/A,347.0,Small,29,Modern,N/A,N/A,N/A,N/A,0.0,482000,127000,87000,98426000,1047000,1529000
ENT_000062,FARMER_00032,Livestock,Pigs,N/A,181.0,Medium,5,Integrated,N/A,N/A,N/A,N/A,0.0,1393000,220000,104000,42341000,1249000,2642000
ENT_000063,FARMER_00032,Crop,Cowpea,None,14.35,Large,21,Traditional,No,Yes,Yes,No,3.65,8217000,1288000,604000,2062000,7243000,15460000
ENT_000064,FARMER_00033,Crop,Rice,None,2.01,Small,20,Modern,No,Yes,No,Yes,1.01,399000,62000,29000,299000,345000,744000
ENT_000065,FARMER_00033,Livestock,Sheep,N/A,28.0,Small,13,Traditional,N/A,N/A,N/A,N/A,0.0,198000,32000,15000,3724000,182000,380000
ENT_000066,FARMER_00033,Livestock,Pigs,N/A,235.0,Large,18,Modern,N/A,N/A,N/A,N/A,0.0,1432000,340000,221000,49934000,2652000,4084000
ENT_000067,FARMER_00034,Crop,Sorghum,Sesame,7.21,Medium,6,Integrated,No,Yes,No,No,2.82,1784000,421000,272000,1526000,3263000,5047000
ENT_000068,FARMER_00035,Fish Farming,Various Fish,N/A,794.0,Medium,4,Integrated,N/A,N/A,N/A,N/A,0.0,638000,103000,50000,94096000,595000,1233000
ENT_000069,FARMER_00035,Livestock,Cattle,N/A,181.0,Medium,10,Modern,N/A,N/A,N/A,N/A,0.0,222000,85000,66000,16793000,797000,1019000
ENT_000070,FARMER_00036,Livestock,Cattle,N/A,249.0,Large,6,Traditional,N/A,N/A,N/A,N/A,0.0,1973000,339000,175000,23110000,2095000,4068000
ENT_000071,FARMER_00037,Livestock,Cattle,N/A,100.0,Medium,48,Modern,N/A,N/A,N/A,N/A,0.0,1082000,151000,61000,20279000,733000,1815000
ENT_000072,FARMER_00038,Livestock,Goats,N/A,239.0,Large,21,Modern,N/A,N/A,N/A,N/A,0.0,2241000,314000,128000,36053000,1530000,3771000
ENT_000073,FARMER_00039,Livestock,Sheep,N/A,125.0,Medium,4,Integrated,N/A,N/A,N/A,N/A,0.0,404000,71000,37000,16622000,443000,847000
ENT_000074,FARMER_00040,Fish Farming,Various Fish,N/A,647.0,Medium,4,Traditional,N/A,N/A,N/A,N/A,0.0,1254000,248000,143000,37749000,1719000,2973000
ENT_000075,FARMER_00041,Crop,Oil Palm,None,6.47,Medium,5,Modern,Yes,No,No,No,0.77,501000,142000,100000,1909000,1204000,1705000
ENT_000076,FARMER_00041,Livestock,Sheep,N/A,84.0,Medium,18,Traditional,N/A,N/A,N/A,N/A,0.0,496000,133000,92000,5622000,1105000,1601000
ENT_000077,FARMER_00041,Livestock,Goats,N/A,159.0,Medium,10,Integrated,N/A,N/A,N/A,N/A,0.0,886000,170000,96000,17415000,1152000,2038000
ENT_000078,FARMER_00042,Fish Farming,Various Fish,N/A,791.0,Medium,27,Traditional,N/A,N/A,N/A,N/A,0.0,428000,80000,44000,111330000,526000,954000
ENT_000079,FARMER_00043,Crop,Yam,Soybean,1.94,Small,5,Integrated,No,Yes,No,No,1.59,443000,97000,60000,387000,725000,1168000
ENT_000080,FARMER_00043,Fish Farming,Various Fish,N/A,199.0,Small,1,Modern,N/A,N/A,N/A,N/A,0.0,234000,53000,34000,47164000,405000,639000
ENT_000081,FARMER_00044,Crop,Vegetables,None,12.73,Large,27,Traditional,No,Yes,No,No,3.94,3306000,869000,593000,654000,7119000,10425000
ENT_000082,FARMER_00044,Livestock,Cattle,N/A,240.0,Large,37,Traditional,N/A,N/A,N/A,N/A,0.0,2429000,397000,195000,36625000,2336000,4765000
ENT_000083,FARMER_00044,Fish Farming,Various Fish,N/A,928.0,Medium,42,Traditional,N/A,N/A,N/A,N/A,0.0,572000,106000,59000,123336000,703000,1275000
ENT_000084,FARMER_00045,Fish Farming,Various Fish,N/A,991.0,Medium,3,Traditional,N/A,N/A,N/A,N/A,0.0,462000,152000,114000,181485000,1367000,1829000
ENT_000085,FARMER_00046,Fish Farming,Various Fish,N/A,791.0,Medium,3,Integrated,N/A,N/A,N/A,N/A,0.0,1454000,262000,141000,61369000,1696000,3150000
ENT_000086,FARMER_00047,Livestock,Goats,N/A,187.0,Medium,5,Modern,N/A,N/A,N/A,N/A,0.0,704000,179000,120000,41823000,1442000,2146000
ENT_000087,FARMER_00047,Fish Farming,Various Fish,N/A,352.0,Small,7,Traditional,N/A,N/A,N/A,N/A,0.0,769000,113000,49000,25743000,587000,1356000
ENT_000088,FARMER_00048,Livestock,Cattle,N/A,44.0,Small,24,Modern,N/A,N/A,N/A,N/A,0.0,263000,70000,48000,8208000,580000,843000
ENT_000089,FARMER_00048,Livestock,Pigs,N/A,129.0,Medium,21,Modern,N/A,N/A,N/A,N/A,0.0,339000,99000,71000,20270000,848000,1187000
ENT_000090,FARMER_00049,Fish Farming,Various Fish,N/A,986.0,Medium,3,Traditional,N/A,N/A,N/A,N/A,0.0,1354000,335000,222000,101806000,2665000,4019000
ENT_000091,FARMER_00049,Livestock,Poultry,N/A,64.0,Medium,27,Integrated,N/A,N/A,N/A,N/A,0.0,217000,38000,20000,9085000,239000,456000
ENT_000092,FARMER_00049,Fish Farming,Various Fish,N/A,544.0,Medium,12,Modern,N/A,N/A,N/A,N/A,0.0,235000,63000,43000,96180000,521000,756000
ENT_000093,FARMER_00050,Crop,Vegetables,None,8.49,Medium,21,Integrated,No,Yes,No,Yes,2.68,1268000,298000,193000,811000,2311000,3579000
ENT_000094,FARMER_00050,Fish Farming,Various Fish,N/A,187.0,Small,11,Traditional,N/A,N/A,N/A,N/A,0.0,202000,30000,14000,19821000,163000,365000
ENT_000095,FARMER_00050,Fish Farming,Various Fish,N/A,447.0,Small,14,Integrated,N/A,N/A,N/A,N/A,0.0,310000,58000,32000,41766000,384000,694000
ENT_000096,FARMER_00051,Fish Farming,Various Fish,N/A,165.0,Small,37,Traditional,N/A,N/A,N/A,N/A,0.0,131000,28000,18000,32775000,211000,342000
ENT_000097,FARMER_00051,Crop,Oil Palm,None,4.36,Small,19,Integrated,No,Yes,No,No,3.67,1200000,486000,386000,795000,4633000,5833000
ENT_000098,FARMER_00051,Crop,Soybean,None,1.08,Small,10,Integrated,No,Yes,Yes,No,4.12,248000,79000,58000,141000,695000,943000
ENT_000099,FARMER_00052,Livestock,Cattle,N/A,254.0,Large,21,Integrated,N/A,N/A,N/A,N/A,0.0,371000,107000,76000,48740000,908000,1279000
ENT_000100,FARMER_00052,Crop,Plantain,None,9.82,Medium,17,Traditional,No,Yes,Yes,No,2.13,4198000,655000,306000,1075000,3666000,7864000
ENT_000101,FARMER_00052,Crop,Maize,Tomato,1.98,Small,15,Modern,Yes,Partially,No,No,2.65,418000,77000,42000,282000,504000,922000
ENT_000102,FARMER_00053,Livestock,Sheep,N/A,224.0,Large,21,Traditional,N/A,N/A,N/A,N/A,0.0,668000,163000,107000,19538000,1285000,1953000
ENT_000103,FARMER_00053,Fish Farming,Various Fish,N/A,480.0,Small,24,Integrated,N/A,N/A,N/A,N/A,0.0,528000,149000,105000,111265000,1263000,1791000
ENT_000104,FARMER_00053,Crop,Oil Palm,None,4.08,Small,33,Modern,No,Yes,Yes,Yes,6.27,2204000,534000,350000,800000,4206000,6410000
ENT_000105,FARMER_00054,Fish Farming,Various Fish,N/A,708.0,Medium,3,Modern,N/A,N/A,N/A,N/A,0.0,828000,224000,155000,187942000,1859000,2687000
ENT_000106,FARMER_00054,Crop,Cassava,Sorghum,6.91,Medium,6,Traditional,Yes,No,No,No,3.84,1628000,338000,202000,705000,2427000,4055000
ENT_000107,FARMER_00054,Fish Farming,Various Fish,N/A,790.0,Medium,4,Traditional,N/A,N/A,N/A,N/A,0.0,1875000,261000,105000,141255000,1256000,3131000
ENT_000108,FARMER_00055,Fish Farming,Various Fish,N/A,479.0,Small,8,Modern,N/A,N/A,N/A,N/A,0.0,223000,80000,61000,70406000,732000,955000
ENT_000109,FARMER_00055,Fish Farming,Various Fish,N/A,431.0,Small,4,Integrated,N/A,N/A,N/A,N/A,0.0,922000,133000,56000,43175000,670000,1592000
ENT_000110,FARMER_00055,Crop,Yam,Plantain,12.63,Large,13,Integrated,No,Yes,No,No,0.51,440000,94000,58000,1299000,694000,1134000
ENT_000111,FARMER_00056,Livestock,Sheep,N/A,167.0,Medium,29,Modern,N/A,N/A,N/A,N/A,0.0,316000,118000,92000,17639000,1104000,1420000
ENT_000112,FARMER_00056,Livestock,Pigs,N/A,30.0,Small,44,Modern,N/A,N/A,N/A,N/A,0.0,54000,22000,18000,2460000,213000,267000
ENT_000113,FARMER_00057,Fish Farming,Various Fish,N/A,504.0,Medium,3,Traditional,N/A,N/A,N/A,N/A,0.0,625000,194000,142000,50265000,1704000,2329000
ENT_000114,FARMER_00058,Livestock,Sheep,N/A,233.0,Large,10,Traditional,N/A,N/A,N/A,N/A,0.0,1169000,276000,178000,34272000,2142000,3311000
ENT_000115,FARMER_00059,Crop,Maize,Sesame,4.36,Small,38,Traditional,No,Yes,No,No,2.11,543000,134000,89000,392000,1067000,1610000
ENT_000116,FARMER_00059,Crop,Maize,None,3.44,Small,9,Modern,No,Yes,No,Yes,5.37,1840000,584000,431000,508000,5174000,7014000
ENT_000117,FARMER_00059,Crop,Oil Palm,Sorghum,11.66,Large,24,Integrated,No,Yes,No,No,4.82,7828000,1166000,513000,1333000,6160000,13988000
ENT_000118,FARMER_00060,Crop,Cocoa,Sorghum,5.8,Medium,12,Integrated,No,Yes,No,Yes,1.43,707000,276000,217000,382000,2599000,3306000
ENT_000119,FARMER_00060,Livestock,Cattle,N/A,198.0,Medium,6,Integrated,N/A,N/A,N/A,N/A,0.0,565000,175000,128000,39990000,1540000,2105000
ENT_000120,FARMER_00061,Livestock,Pigs,N/A,286.0,Large,16,Traditional,N/A,N/A,N/A,N/A,0.0,996000,139000,56000,18059000,668000,1664000
ENT_000121,FARMER_00062,Fish Farming,Various Fish,N/A,112.0,Small,13,Integrated,N/A,N/A,N/A,N/A,0.0,116000,25000,15000,24197000,184000,300000
ENT_000122,FARMER_00063,Crop,Millet,Oil Palm,5.03,Medium,14,Traditional,No,Yes,Yes,No,5.57,1912000,437000,277000,824000,3329000,5241000
ENT_000123,FARMER_00064,Crop,Cowpea,Cocoa,9.21,Medium,4,Traditional,No,Yes,No,Yes,5.4,4561000,1576000,1196000,488000,14348000,18909000
ENT_000124,FARMER_00065,Crop,Cassava,None,7.7,Medium,4,Traditional,No,Yes,Yes,No,4.93,3365000,672000,391000,1445000,4697000,8062000
ENT_000125,FARMER_00065,Fish Farming,Various Fish,N/A,70.0,Subsistence,14,Integrated,N/A,N/A,N/A,N/A,0.0,17000,6000,5000,12357000,55000,72000
ENT_000126,FARMER_00065,Crop,Cowpea,Rice,10.75,Large,8,Modern,No,Yes,No,Yes,6.14,5832000,1241000,755000,2315000,9055000,14887000
ENT_000127,FARMER_00066,Fish Farming,Various Fish,N/A,703.0,Medium,4,Integrated,N/A,N/A,N/A,N/A,0.0,821000,143000,74000,63690000,890000,1711000
ENT_000128,FARMER_00066,Fish Farming,Various Fish,N/A,440.0,Small,3,Modern,N/A,N/A,N/A,N/A,0.0,138000,45000,33000,46599000,397000,535000
ENT_000129,FARMER_00066,Livestock,Cattle,N/A,296.0,Large,4,Traditional,N/A,N/A,N/A,N/A,0.0,905000,240000,165000,49385000,1980000,2885000
ENT_000130,FARMER_00067,Crop,Maize,Plantain,11.06,Large,33,Integrated,No,Yes,Yes,No,2.13,2279000,326000,137000,2552000,1639000,3918000
ENT_000131,FARMER_00067,Livestock,Poultry,N/A,121.0,Medium,15,Integrated,N/A,N/A,N/A,N/A,0.0,1234000,199000,97000,7737000,1159000,2393000
ENT_000132,FARMER_00067,Fish Farming,Various Fish,N/A,326.0,Small,40,Integrated,N/A,N/A,N/A,N/A,0.0,536000,103000,59000,72291000,704000,1240000
ENT_000133,FARMER_00068,Livestock,Sheep,N/A,165.0,Medium,4,Integrated,N/A,N/A,N/A,N/A,0.0,289000,93000,69000,36342000,823000,1112000
ENT_000134,FARMER_00069,Livestock,Cattle,N/A,249.0,Large,7,Integrated,N/A,N/A,N/A,N/A,0.0,2429000,380000,177000,20879000,2126000,4555000
ENT_000135,FARMER_00069,Fish Farming,Various Fish,N/A,587.0,Medium,10,Integrated,N/A,N/A,N/A,N/A,0.0,400000,160000,126000,105996000,1514000,1914000
ENT_000136,FARMER_00070,Crop,Vegetables,None,9.72,Medium,4,Traditional,No,Yes,No,Yes,3.44,4836000,729000,326000,1211000,3917000,8753000
ENT_000137,FARMER_00070,Fish Farming,Various Fish,N/A,277.0,Small,1,Modern,N/A,N/A,N/A,N/A,0.0,232000,56000,36000,70630000,438000,670000
ENT_000138,FARMER_00071,Livestock,Pigs,N/A,169.0,Medium,33,Modern,N/A,N/A,N/A,N/A,0.0,679000,159000,102000,39008000,1227000,1906000
ENT_000139,FARMER_00072,Fish Farming,Various Fish,N/A,356.0,Small,18,Modern,N/A,N/A,N/A,N/A,0.0,309000,114000,88000,77370000,1061000,1370000
ENT_000140,FARMER_00072,Crop,Oil Palm,Plantain,5.31,Medium,6,Integrated,No,Yes,No,No,3.43,1779000,469000,321000,1046000,3853000,5632000
ENT_000141,FARMER_00072,Livestock,Poultry,N/A,292.0,Large,8,Integrated,N/A,N/A,N/A,N/A,0.0,1908000,358000,199000,44374000,2386000,4294000
ENT_000142,FARMER_00073,Crop,Sorghum,Cocoa,0.95,Subsistence,16,Integrated,No,Yes,No,No,3.48,176000,46000,32000,147000,380000,556000
ENT_000143,FARMER_00074,Livestock,Sheep,N/A,189.0,Medium,19,Traditional,N/A,N/A,N/A,N/A,0.0,1283000,303000,196000,22912000,2356000,3639000
ENT_000144,FARMER_00074,Crop,Rice,Cassava,2.68,Small,5,Traditional,No,Yes,No,No,0.53,124000,41000,30000,305000,364000,488000
ENT_000145,FARMER_00074,Crop,Vegetables,None,14.65,Large,10,Traditional,No,Yes,No,No,4.73,9120000,1345000,585000,852000,7021000,16141000
ENT_000146,FARMER_00075,Fish Farming,Various Fish,N/A,138.0,Small,2,Modern,N/A,N/A,N/A,N/A,0.0,95000,29000,21000,11307000,254000,349000
ENT_000147,FARMER_00075,Fish Farming,Various Fish,N/A,275.0,Small,1,Integrated,N/A,N/A,N/A,N/A,0.0,198000,59000,42000,43513000,507000,705000
ENT_000148,FARMER_00076,Crop,Cowpea,None,3.06,Small,6,Integrated,No,Yes,No,No,3.47,858000,258000,187000,712000,2239000,3097000
ENT_000149,FARMER_00077,Livestock,Cattle,N/A,188.0,Medium,2,Modern,N/A,N/A,N/A,N/A,0.0,1322000,208000,98000,39760000,1174000,2496000
ENT_000150,FARMER_00077,Fish Farming,Various Fish,N/A,267.0,Small,1,Integrated,N/A,N/A,N/A,N/A,0.0,132000,45000,34000,41957000,413000,545000
ENT_000151,FARMER_00078,Livestock,Cattle,N/A,28.0,Small,1,Integrated,N/A,N/A,N/A,N/A,0.0,88000,23000,16000,4308000,188000,276000
ENT_000152,FARMER_00078,Fish Farming,Various Fish,N/A,465.0,Small,3,Modern,N/A,N/A,N/A,N/A,0.0,558000,114000,68000,98091000,813000,1371000
ENT_000153,FARMER_00079,Crop,Tomato,Cocoa,12.36,Large,8,Traditional,No,Yes,No,Yes,4.01,6799000,1044000,477000,1698000,5725000,12524000
ENT_000154,FARMER_00079,Fish Farming,Various Fish,N/A,725.0,Medium,9,Modern,N/A,N/A,N/A,N/A,0.0,394000,101000,68000,204834000,817000,1211000
ENT_000155,FARMER_00079,Livestock,Sheep,N/A,27.0,Small,9,Modern,N/A,N/A,N/A,N/A,0.0,64000,19000,14000,6822000,164000,228000
ENT_000156,FARMER_00080,Livestock,Sheep,N/A,279.0,Large,2,Integrated,N/A,N/A,N/A,N/A,0.0,1433000,244000,124000,50920000,1492000,2925000
ENT_000157,FARMER_00080,Livestock,Pigs,N/A,290.0,Large,2,Traditional,N/A,N/A,N/A,N/A,0.0,1157000,255000,159000,25539000,1903000,3060000
ENT_000158,FARMER_00080,Livestock,Pigs,N/A,31.0,Small,1,Modern,N/A,N/A,N/A,N/A,0.0,361000,50000,20000,2960000,243000,604000
ENT_000159,FARMER_00081,Fish Farming,Various Fish,N/A,661.0,Medium,4,Traditional,N/A,N/A,N/A,N/A,0.0,999000,196000,113000,53049000,1355000,2354000
ENT_000160,FARMER_00081,Fish Farming,Various Fish,N/A,986.0,Medium,23,Modern,N/A,N/A,N/A,N/A,0.0,2342000,399000,204000,208472000,2443000,4785000
ENT_000161,FARMER_00082,Livestock,Pigs,N/A,299.0,Large,17,Integrated,N/A,N/A,N/A,N/A,0.0,1564000,290000,160000,43969000,1917000,3481000
ENT_000162,FARMER_00082,Livestock,Cattle,N/A,240.0,Large,2,Modern,N/A,N/A,N/A,N/A,0.0,928000,135000,58000,52218000,691000,1619000
ENT_000163,FARMER_00082,Fish Farming,Various Fish,N/A,768.0,Medium,15,Modern,N/A,N/A,N/A,N/A,0.0,934000,170000,92000,150161000,1101000,2035000
